ID,Date,Add,Temp,BG,AFS,CBH,LAP,NAG,PHOS,BX,per,pox,NETPEROX,EndoC,EndoX,NH4,NO3,PO4,TFPA,TRS
AN6-1,8/13/2021,Cellobiose,-6,303.3465457,54.49216105,39.24978272,533.7887466,207.8889631,2351.280316,172.2358451,7.069089079,-3.050023411,10.11911249,0.814370112,0.566182807,2.886182807,9.795142749,0.248556406,82.54443454,1.395452794
AN6-2,8/13/2021,Cellobiose,-6,348.0087995,108.174071,50.67034476,707.7439235,160.9511092,3310.335494,118.3455152,2.097257582,14.44599434,-12.34873675,1.282080694,0.220629787,2.540629787,10.40364187,0.136846457,88.47985511,1.489929271
AN6-3,8/13/2021,Cellobiose,-6,243.3033322,53.55373179,2.116943771,484.2261047,154.1947353,1722.779823,63.62863677,10.75618784,3.716772152,7.039415687,1.060840854,-0.020839096,2.299160904,14.33457975,0.17995474,96.11738067,1.780600993
AN6-4,8/13/2021,Cellobiose,-6,283.0946527,104.9746266,5.309687548,521.0233212,187.5188144,2098.345382,103.7341744,-1.755895018,1.66110753,-3.417002548,1.06918106,0.649567346,2.969567346,14.36579043,0.080929483,117.5709769,2.118042261
CN6-1,8/13/2021,Coloidal cellulose,-6,273.6289228,109.4705762,22.98315169,509.3105344,168.3623838,1939.63528,45.21973456,-2.755352177,5.859974348,-8.615326525,1.338046926,0.298987771,2.618987771,19.25367776,0,84.60277948,0.18100698
CN6-2,8/13/2021,Coloidal cellulose,-6,322.3435932,71.08781171,31.64008643,462.0053997,131.3716303,2040.854181,59.9400279,7.639438291,0.41500933,7.224428961,0.867049673,0.105394542,2.425394542,23.11795758,0,68.65500137,0.168131049
CN6-2,8/13/2021,Coloidal cellulose,-6,299.6226219,41.2509933,86.30147497,478.7939267,145.6711126,2278.508664,37.5687507,5.170660036,13.30809222,-8.137432188,1.887444874,0.359438067,2.679438067,17.88492768,0.041997556,100.5934751,0.183677332
CN6-3,8/13/2021,Coloidal cellulose,-6,198.6427641,100.1927351,64.78060505,349.4500931,118.6700057,1321.368141,42.65862348,9.262189405,-5.034722222,14.29691163,0.693833523,-0.791334499,1.528665501,13.49449072,0.011383696,46.16617768,0.165566442
DN6-1,8/13/2021,Cellulose- 20,-6,82.14274485,108.8578195,48.09110468,252.574152,70.09354355,429.5636285,23.71658672,-5.006404461,-4.186913971,-0.81949049,1.362068434,0.546189585,2.866189585,16.86718739,0.086297982,83.17422037,0.338273585
DN6-2,8/13/2021,Cellulose- 20,-6,136.575227,103.942946,16.11430189,448.7937335,112.496504,596.413939,38.28968082,-4.571156845,5.520516704,-10.09167355,1.800176913,-0.341527275,1.978472725,21.75322337,0.113752362,114.592185,0.254302449
DN6-3,8/13/2021,Cellulose- 20,-6,145.4893553,98.51808283,21.46861234,326.9000845,118.5011749,538.0586321,34.11321408,-1.622077097,3.341327136,-4.963404233,1.669265441,-0.503763839,1.816236161,17.85455655,0.191408631,145.7510629,0.27457517
DN6-4,8/13/2021,Cellulose- 20,-6,139.7049042,91.24046642,16.10853836,348.1508774,102.5263559,663.9427392,29.7533452,8.165461722,6.259433354,1.906028369,0.93664554,-0.153834393,2.166165607,18.90976316,0.101161239,142.9170483,0.340330328
EN6-1,8/13/2021,Cellulose- 90,-6,240.0835844,67.68713868,15.477454,404.8903362,154.802137,671.0556466,38.19087543,-3.112754589,-1.281491181,-1.831263408,1.171946091,-0.054814314,2.265185686,18.74720482,0.293039359,103.2722589,0.198252716
EN6-2,8/13/2021,Cellulose- 90,-6,174.7169175,84.19007494,11.91132173,360.3082339,102.1757129,639.1438372,21.03409998,-5.780025618,0.053370504,-5.833396122,1.643989435,-0.107602885,2.212397115,18.32742151,0,105.3303132,0.195561812
EN6-3,8/13/2021,Cellulose- 90,-6,217.2251005,87.03184597,13.21646448,555.258095,195.5719813,761.4326436,57.10354622,2.811249822,5.18834489,-2.377095067,1.200605273,0.22446015,2.54446015,18.48853708,0.151340269,111.072993,0.210269919
EN6-4,8/13/2021,Cellulose- 90,-6,157.3027009,68.43270857,15.84283862,428.046648,127.644172,636.0382793,29.58488589,2.146682267,-4.23494818,6.381630447,1.44595617,0.072277642,2.392277642,19.63280592,0.092396366,107.0512659,0.192505174
FN6-1,8/13/2021,None,-6,184.4689296,52.62353272,18.52155829,496.3443658,191.9600497,765.524502,44.69173532,-4.201044005,-1.734668695,-2.46637531,0.925134216,0.422215178,10.81518974,19.25367776,0,84.60277948,0.04767298
FN6-2,8/13/2021,None,-6,205.0670876,85.38459379,15.63923074,559.8186816,218.9827857,765.6095019,39.49457097,3.309487416,0.735025456,2.57446196,1.388571435,0.00950216,11.35422195,23.11795758,0,68.65500137,0.034797049
FN6-3,8/13/2021,None,-6,156.0371925,44.88247462,30.26022079,376.7430389,152.4222096,677.3781868,337.5147155,3.892398376,-2.409814808,6.302213184,1.734690488,0.453506816,12.8598245,17.88492768,0.041997556,88.59347509,0.050343332
FN6-4,8/13/2021,None,-6,128.6998059,74.28604935,20.51121379,336.1553055,98.50301033,505.1870322,226.7860642,4.279298488,-1.48512585,5.764424338,1.224411675,0.125735152,14.83366164,13.49449072,0.011383696,46.16617768,0.032232442
AN2-1,8/6/2021,Cellobiose,-2,227.9346546,99.66694306,20.6735837,941.1112056,206.9913783,761.0342653,38.40655956,3.446698243,-10.84869225,14.29539049,2.710155293,-0.901314602,8.133420395,8.165073103,0.121495752,121.9936625,1.656830906
AN2-2,8/6/2021,Cellobiose,-2,245.8846103,41.93161959,19.73439992,966.383015,197.9045551,857.5166035,38.0677757,9.928804904,-0.745730525,10.67453543,2.99378618,1.343728126,7.012941518,6.18774288,0.211260601,127.9880414,1.662706776
AN2-3,8/6/2021,Cellobiose,-2,161.5061457,45.30236274,25.81671164,607.9018122,132.07907,676.3075687,26.16541539,4.386217224,4.44767179,-0.061454566,2.044202621,-0.81802289,9.041151156,6.611443395,0.093882427,164.4849728,1.908214404
AN2-4,8/6/2021,Cellobiose,-2,142.3647138,73.30815131,13.30300386,827.1323801,117.6607337,644.532194,18.75465389,5.432001094,-12.35660601,17.78860711,3.243735908,0.602219248,9.038817336,5.96496327,0.116143153,114.4161344,2.127655568
